full_text,education_level,source_dataset,domain,orig_split,orig_idx,topic,variation
"My dog is my best friend. He is a golden retriever. His name is Max. Max loves to play outside. He likes to run around in the backyard and catch a ball. Max also likes to swim in the pool. He gets very happy when he gets in the water. Max is very good at catching balls and sticks. He always brings them back to me. Sometimes Max gets a little messy, and I have to clean up after him. He makes me laugh, and I love him very much. Max is such a good boy.",elementary,synthetic,my pet dog,ood_synthetic,0,my pet dog,0
My dog is my best friend. He is a golden retriever. His name is Max. Max loves to play outside. He likes to run around in the backyard and catch a ball. Max also likes to swim in the pool. He gets very happy when he gets in the water. Max is very good at catching balls but not very good at catching frisbees. Sometimes he gets a little messy when he eats his food but I still love him. I love playing fetch with Max. He makes me smile every day.,elementary,synthetic,my pet dog,ood_synthetic,1,my pet dog,1
"My dog is my best friend. He is a golden retriever. His name is Max. Max loves to play outside. He likes to run around in the backyard and catch a ball. Max also likes to swim in the pool. He gets very happy when he gets in the water. Max is very good at catching balls and sticks. He always brings them back to me. Sometimes Max gets a little messy, and I have to clean up after him. He makes me laugh, and I love him very much. Max is such a good boy.",elementary,synthetic,my pet dog,ood_synthetic,2,my pet dog,2
"My dog is my best friend. He is a golden retriever. His name is Max. Max loves to play outside. He likes to run around in the backyard and catch a ball. Max also likes to swim in the pool. He gets very happy when he gets in the water. Max is very good at catching balls and sticks. He always brings them back to me. Sometimes Max gets a little messy, and I have to clean up after him. But I don't mind because I love Max very much. He is such a good boy.",elementary,synthetic,my pet dog,ood_synthetic,3,my pet dog,3
"My dog is my best friend. He is a golden retriever. His name is Max. Max loves to play outside. He likes to run around in the backyard and catch a ball. Max also likes to swim in the pool. He gets very happy when he gets in the water. Max is very good at catching balls and sticks. He always brings them back to me. Sometimes Max gets a little messy, and I have to clean up after him. But I don't mind because I love Max very much. He is such a good boy.",elementary,synthetic,my pet dog,ood_synthetic,4,my pet dog,4
"When it rains, water falls from the sky. The raindrops make a sound on the roof and on the ground. Sometimes, the rain is light, and sometimes it's heavy. The heavy rain can make puddles on the sidewalk. These puddles can be big or small. You can skip in them or jump over them. If you wear boots with good grip, you can walk on the wet sidewalk without slipping. Rain makes the plants grow. It fills the rivers and lakes, and makes them swell. The rain also helps wash the dirt off the streets. After the rain, everything smells fresh and clean.",elementary,synthetic,a rainy day,ood_synthetic,5,a rainy day,0
"When it rains, water falls from the sky. The raindrops make a sound on the roof and on the ground. Sometimes, the rain is light, and sometimes it's heavy. The heavy rain can make puddles on the sidewalk. These puddles can be big or small. You can skip in them or jump over them. If you wear boots with good grip, you can walk on the wet sidewalk without slipping. Rain makes the plants grow. It fills the rivers and lakes, and makes them swell. The rain also helps wash the dirt off the streets. After the rain, everything smells fresh and clean.",elementary,synthetic,a rainy day,ood_synthetic,6,a rainy day,1
"When it rains, water falls from the sky. The raindrops make a sound on the roof and on the ground. Sometimes, the rain is light, and sometimes it's heavy. The heavy rain can make puddles on the sidewalk. These puddles can be big or small. You can skip in them or jump over them. If you wear boots with good grip, you can walk on the wet sidewalk without slipping. Rain makes the plants grow. It fills the rivers and lakes, and makes them swell. The rain also helps wash the dirt off the streets. After the rain, everything smells fresh and clean.",elementary,synthetic,a rainy day,ood_synthetic,7,a rainy day,2
"When it rains, water falls from the sky. The raindrops make a sound on the roof and on the ground. Sometimes, the rain is light, and sometimes it's heavy. The heavy rain can make puddles on the sidewalk. These puddles can be big or small. You can skip in them or jump over them. If you wear boots with good grip, you can walk on the wet sidewalk without slipping. Rain makes the plants grow. It fills the rivers and lakes, and makes them swell. The rain also helps wash the dirt off the streets. After the rain, everything smells fresh and clean.",elementary,synthetic,a rainy day,ood_synthetic,8,a rainy day,3
"When it rains, water falls from the sky. The raindrops make a sound on the roof and on the ground. Sometimes, the rain is light, and sometimes it's heavy. The heavy rain can make puddles on the sidewalk. These puddles can be big or small. You can skip in them or jump over them. If you wear boots with good grip, you can walk on the wet sidewalk without slipping. Rain makes the plants grow. It fills the rivers and lakes, and makes them swell. The rain also helps wash the dirt off the streets. After the rain, everything smells fresh and clean.",elementary,synthetic,a rainy day,ood_synthetic,9,a rainy day,4
"My family is a group of people who take care of me and love me. My mom and dad are the grown-ups in my family. They go to work to make money to buy food, clothes, and toys for me. My mom cooks delicious meals for us, and my dad plays with me when he comes home from work. I also have a little brother who is always getting into trouble and making me laugh. My grandma and grandpa live nearby and come to visit us often. We have a big dinner together and talk about our day. We all share a house and work together to make our family happy.",elementary,synthetic,my family,ood_synthetic,10,my family,0
"My family is a group of people who take care of me and love me. My mom and dad are the grown-ups in my family. They go to work to make money to buy food, clothes, and toys for me. My mom cooks delicious meals for us, and my dad plays with me when he comes home from work. I also have a little brother who is always getting into trouble and making me laugh. My grandma and grandpa live nearby, and they come over often to visit me. We have a big family that lives together and helps each other.",elementary,synthetic,my family,ood_synthetic,11,my family,1
"My family is a group of people who take care of me and love me. My mom and dad are the grown-ups in my family. They go to work to make money to buy food, clothes, and toys for me. My mom cooks delicious meals for us, and my dad plays with me when he comes home from work. I also have a little brother, and we like to play together. Sometimes we have fun playing games, reading books, or going on adventures. My family is special because we all take care of each other and make me feel happy and safe.",elementary,synthetic,my family,ood_synthetic,12,my family,2
"My family is a group of people who take care of me and love me. My mom and dad are the grown-ups in my family. They go to work to make money to buy food, clothes, and toys for me. My mom cooks delicious meals for us, and my dad plays with me when he comes home from work. I also have a little brother who is always getting into trouble and making me laugh. My grandma and grandpa live nearby, and they come over often to visit me. We have a big family that loves and helps each other, and I feel happy and safe with them.",elementary,synthetic,my family,ood_synthetic,13,my family,3
"My family is a group of people who take care of me and love me. My mom and dad are the grown-ups in my family. They go to work to make money to buy food, clothes, and toys for me. My mom cooks delicious meals for us, and my dad plays with me when he comes home from work. I also have a little brother, and we like to play together. Sometimes we have fun playing games, reading books, or going on adventures. My family is special because we all take care of each other and make me feel happy and safe.",elementary,synthetic,my family,ood_synthetic,14,my family,4
"Imagine waking up early in the morning, feeling happy and excited to go to school. You put on your favorite shirt and some clean socks, and grab a bowl of oatmeal or cereal for breakfast. On your way to school, you see friends playing outside, and you wave at them to say hi. When you get to school, you put your backpack in your locker and say hello to your teacher and classmates. You start the day by reading a book, then sing songs, and do math problems. After recess, you have lunch, and maybe play with blocks or build a fort during art class.",elementary,synthetic,a school day,ood_synthetic,15,a school day,0
"A school day is like a big puzzle. It starts early in the morning when the sun is shining. You wake up, get dressed, and have a yummy breakfast. Then you head to school with your friends. When you get to school, you put your things away in your backpack and head to your classroom. You might see your friends on the playground first, then sit down at your desk and listen to your teacher. You learn about reading, math, science, and social studies. You also get to do fun activities like art, music, and recess. The day ends with you heading home, tired but happy, with new things to tell your family and friends.",elementary,synthetic,a school day,ood_synthetic,16,a school day,1
"A school day is like a big puzzle. It starts early in the morning when the sun is shining. You wake up, get dressed, and have a yummy breakfast. Then you head to school with your family. When you get to school, you put your things in your cubby or locker. Your teacher greets you with a smile and says good morning. You sit in your classroom with your friends and do math, reading, and other fun activities. You might sing songs, play with blocks, or do art projects. At lunchtime, you eat a healthy meal with your friends in the cafeteria. After lunch, you learn more new things and make new friends.",elementary,synthetic,a school day,ood_synthetic,17,a school day,2
"A school day is like a big puzzle. It starts early in the morning when the sun is shining. You wake up, get dressed, and have a yummy breakfast. Then you head to school with your family. When you get to school, you put your things in your cubby or locker. Your teacher greets you with a smile and says good morning. You sit in your classroom with your friends and do math, reading, and other fun activities. You might sing songs, play with blocks, or do art projects. At lunchtime, you eat a healthy meal with your friends in the cafeteria. After lunch, you learn more new things and make new friends.",elementary,synthetic,a school day,ood_synthetic,18,a school day,3
"Imagine waking up early in the morning, feeling happy and excited to go to school. You put on your favorite shirt and some clean socks, and grab a bowl of oatmeal or cereal for breakfast. On your way to school, you see friends playing outside, and you wave at them. When you arrive, you hang up your backpack on a hook and find your name on a desk. Your teacher gives you a math worksheet, and you do a fun drawing of a picture. At recess, you play tag with friends, run around, and laugh. In the classroom, you read a book about animals and learn new words.",elementary,synthetic,a school day,ood_synthetic,19,a school day,4
"At the zoo, you can see many different kinds of animals from all around the world. Some animals are big, some are small, some are colorful, and some are not so colorful. There are birds that fly and monkeys that swing from tree to tree. You might see a lion with a big mane or a giraffe with a long neck. The zookeepers take care of the animals and make sure they have food, water, and a safe place to live. They help the animals feel happy and healthy. You can also learn about the animals' homes, like the desert where camels live or the rainforest where sloths live.",elementary,synthetic,animals at the zoo,ood_synthetic,20,animals at the zoo,0
"At the zoo, you can see many different kinds of animals from all around the world. Some animals are big, some are small, some are colorful, and some are not so colorful. There are birds that fly high in the air, like eagles and vultures. You can see big cats like lions and tigers that like to sleep in the sun. Monkeys swing from trees and play with their friends. Elephants have big ears that help them stay cool. Giraffes have long necks that help them reach leaves on tall trees. You can learn a lot about animals and their homes when you visit the zoo.",elementary,synthetic,animals at the zoo,ood_synthetic,21,animals at the zoo,1
"At the zoo, you can see many different kinds of animals from all around the world. Some animals are big, some are small, some are colorful, and some are not so colorful. There are birds that fly high in the air, like eagles and vultures. There are mammals that walk on four legs, like zebras and giraffes. Some animals even live underwater, like fish and alligators. At the zoo, you can see animals that live in the cold, like polar bears, and animals that live in the hot desert, like camels. Each animal is special and unique, and they all have different homes and habits.",elementary,synthetic,animals at the zoo,ood_synthetic,22,animals at the zoo,2
"When we go to the zoo, we can see lots of different animals living together in their homes. Some animals like to play outside in the sunshine, while others like to stay cool in the shade. Elephants like to splash in big pools of water to keep themselves clean. Monkeys love to swing from tree to tree, using strong ropes to help them climb. We can even feed some animals at the zoo, like giraffes that eat special leaves from tall trees. The zookeepers take care of the animals and make sure they have everything they need to be happy and healthy.",elementary,synthetic,animals at the zoo,ood_synthetic,23,animals at the zoo,3
